each_cy,pingyin,input_index,output_index
不留余力,"['bu', 'liu', 'yu', 'li']",17,55
不息自强,"['bu', 'xi', 'zi', 'qiang']",17,7
巧取强夺,"['qiao', 'qu', 'qiang', 'duo']",7,9
顽冥不灵,"['wan', 'ming', 'bu', 'ling']",4,16
巧逾造化,"['qiao', 'yu', 'zao', 'hua']",7,24
巧夺造化,"['qiao', 'duo', 'zao', 'hua']",7,24
不阿不挠,"['bu', 'a', 'bu', 'nao']",17,3
不同凡流,"['bu', 'tong', 'fan', 'liu']",17,21
巧绝天工,"['qiao', 'jue', 'tian', 'gong']",7,13
不同天地,"['bu', 'tong', 'tian', 'di']",17,15
北辕适越,"['bei', 'yuan', 'shi', 'yue']",26,11
不堕箕裘,"['bu', 'duo', 'ji', 'qiu']",17,13
引玉抛砖,"['yin', 'yu', 'pao', 'zhuan']",12,6
班门取罪,"['ban', 'men', 'qu', 'zui']",8,10
不暇暖席,"['bu', 'xia', 'nuan', 'xi']",17,36
引经据礼,"['yin', 'jing', 'ju', 'li']",12,55
引经据义,"['yin', 'jing', 'ju', 'yi']",12,263
引盗入闼,"['yin', 'dao', 'ru', 'ta']",12,1
不探虎穴，安得虎子,"['bu', 'tan', 'hu', 'xue', '，', 'an', 'de', 'hu', 'zi']",17,35
北辕南辙,"['bei', 'yuan', 'nan', 'zhe']",26,6
背驰于道,"['bei', 'chi', 'yu', 'dao']",26,23
背道而行,"['bei', 'dao', 'er', 'xing']",26,27
背本逐末,"['bei', 'ben', 'zhu', 'mo']",26,38
骥伏枥,"['ji', 'fu', 'li']",98,55
蜚流之言,"['fei', 'liu', 'zhi', 'yan']",25,55
不胫而驰,"['bu', 'jing', 'er', 'chi']",17,13
引虎入室,"['yin', 'hu', 'ru', 'shi']",12,99
背邪向正,"['bei', 'xie', 'xiang', 'zheng']",26,12
张胆明目,"['zhang', 'dan', 'ming', 'mu']",40,36
巧舌花唇,"['qiao', 'she', 'hua', 'chun']",7,11
巧侔造化,"['qiao', 'mou', 'zao', 'hua']",7,24
刊陈出新,"['kan', 'chen', 'chu', 'xin']",5,81
形槁心灰,"['xing', 'gao', 'xin', 'hui']",26,22
引贼入家,"['yin', 'zei', 'ru', 'jia']",12,20
引人胜地,"['yin', 'ren', 'sheng', 'di']",12,15
孤行一意,"['gu', 'xing', 'yi', 'yi']",40,263
孤诣苦心,"['gu', 'yi', 'ku', 'xin']",40,81
孤标峻节,"['gu', 'biao', 'jun', 'jie']",40,44
孤芳自爱,"['gu', 'fang', 'zi', 'ai']",40,5
不暇应接,"['bu', 'xia', 'ying', 'jie']",17,44
水乳之合,"['shui', 'ru', 'zhi', 'he']",22,13
水乳相和,"['shui', 'ru', 'xiang', 'he']",22,13
水息不通,"['shui', 'xi', 'bu', 'tong']",22,35
水阔天空,"['shui', 'kuo', 'tian', 'kong']",22,14
水浅长流,"['shui', 'qian', 'chang', 'liu']",22,21
水清石出,"['shui', 'qing', 'shi', 'chu']",22,44
水涸石出,"['shui', 'he', 'shi', 'chu']",22,44
水深火烈,"['shui', 'shen', 'huo', 'lie']",22,3
残息奄奄,"['can', 'xi', 'yan', 'yan']",6,55
武陵世外,"['wu', 'ling', 'shi', 'wai']",60,5
戮力一意,"['lu', 'li', 'yi', 'yi']",31,263
戮力同德,"['lu', 'li', 'tong', 'de']",31,23
骏马加鞭,"['jun', 'ma', 'jia', 'bian']",7,16
驰骥过棂,"['chi', 'ji', 'guo', 'ling']",37,16
驰风掣电,"['chi', 'feng', 'che', 'dian']",37,8
珠璧相映,"['zhu', 'bi', 'xiang', 'ying']",38,28
珠遗沧海,"['zhu', 'yi', 'cang', 'hai']",38,22
珠米桂薪,"['zhu', 'mi', 'gui', 'xin']",38,81
殊辙同归,"['shu', 'zhe', 'tong', 'gui']",31,8
劲节高风,"['jin', 'jie', 'gao', 'feng']",44,52
孤恩负义,"['gu', 'en', 'fu', 'yi']",40,263
珠生老蚌,"['zhu', 'sheng', 'lao', 'bang']",38,4
理足气壮,"['li', 'zu', 'qi', 'zhuang']",82,14
强食弱肉,"['qiang', 'shi', 'ruo', 'rou']",14,6
珠联玉映,"['zhu', 'lian', 'yu', 'ying']",38,28
强愎自用,"['qiang', 'bi', 'zi', 'yong']",14,7
动常得咎,"['dong', 'chang', 'de', 'jiu']",11,20
强词昧理,"['qiang', 'ci', 'mei', 'li']",14,55
对驴弹琴,"['dui', 'lv', 'tan', 'qin']",3,5
魂不著体,"['hun', 'bu', 'zhuo', 'ti']",5,10
动辄见咎,"['dong', 'zhe', 'jian', 'jiu']",11,20
魂飞胆丧,"['hun', 'fei', 'dan', 'sang']",5,5
破浪乘风,"['po', 'lang', 'cheng', 'feng']",14,52
弓开得胜,"['gong', 'kai', 'de', 'sheng']",17,29
劲草疾风,"['jing', 'cao', 'ji', 'feng']",44,52
理得心安,"['li', 'de', 'xin', 'an']",82,33
对门当户,"['dui', 'men', 'dang', 'hu']",3,37
马耳射东风,"['ma', 'er', 'she', 'dong', 'feng']",37,52
马迹蛛丝,"['ma', 'ji', 'zhu', 'si']",37,32
强弩末,"['qiang', 'nu', 'mo']",14,38
马首前瞻,"['ma', 'shou', 'qian', 'zhan']",37,10
对牛鼓簧,"['dui', 'niu', 'gu', 'huang']",3,11
功坠垂成,"['gong', 'zhui', 'chui', 'cheng']",17,17
强词夺正,"['qiang', 'ci', 'duo', 'zheng']",14,12
对证处方,"['dui', 'zheng', 'chu', 'fang']",3,22
功倍事半,"['gong', 'bei', 'shi', 'ban']",17,16
鹬蚌相持,"['yu', 'bang', 'xiang', 'chi']",80,13
北调南腔,"['bei', 'diao', 'nan', 'qiang']",26,7
碧玉小家,"['bi', 'yu', 'xiao', 'jia']",34,20
功废垂成,"['gong', 'fei', 'chui', 'cheng']",17,17
聚沙为塔,"['ju', 'sha', 'wei', 'ta']",38,1
聚沙之塔,"['ju', 'sha', 'zhi', 'ta']",38,1
聚会精神,"['ju', 'hui', 'jing', 'shen']",38,46
弓藏鸟尽,"['gong', 'cang', 'niao', 'jin']",17,39
忍不可忍,"['ren', 'bu', 'ke', 'ren']",62,28
观止之叹,"['guan', 'zhi', 'zhi', 'tan']",25,15
马牛风,"['ma', 'niu', 'feng']",37,52
勇退急流,"['yong', 'tui', 'ji', 'liu']",13,21
双瞳如豆,"['shuang', 'tong', 'ru', 'dou']",1,2
异轸同归,"['yi', 'zhen', 'tong', 'gui']",126,8
异趣同归,"['yi', 'qu', 'tong', 'gui']",126,8
司空惯见,"['si', 'kong', 'guan', 'jian']",28,29
司空经惯,"['si', 'kong', 'jing', 'guan']",28,11
歌遏行云,"['ge', 'e', 'xing', 'yun']",13,3
已精求精,"['yi', 'jing', 'qiu', 'jing']",126,48
桑田沧海,"['sang', 'tian', 'cang', 'hai']",2,22
飘风过耳,"['piao', 'feng', 'guo', 'er']",1,15
飘风吹马耳,"['piao', 'feng', 'chui', 'ma', 'er']",1,15
歌颂功德,"['ge', 'song', 'gong', 'de']",13,23
信手拈出,"['xin', 'shou', 'nian', 'chu']",80,44
信手拈得,"['xin', 'shou', 'nian', 'de']",80,23
雌黄信口,"['ci', 'huang', 'xin', 'kou']",14,17
垂不朽,"['chui', 'bu', 'xiu']",0,14
依然故吾,"['yi', 'ran', 'gu', 'wu']",126,101
殚精覃思,"['dan', 'jing', 'tan', 'si']",33,32
刃有余地,"['ren', 'you', 'yu', 'di']",62,15
千手一律,"['qian', 'shou', 'yi', 'lv']",17,4
重望硕德,"['zhong', 'wang', 'shuo', 'de']",45,23
殚智毕精,"['dan', 'zhi', 'bi', 'jing']",33,48
孙山名落,"['sun', 'shan', 'ming', 'luo']",3,12
千谋百计,"['qian', 'mou', 'bai', 'ji']",17,62
千幅一律,"['qian', 'fu', 'yi', 'lv']",17,4
殄天物,"['tian', 'tian', 'wu']",39,101
千里赤,"['qian', 'li', 'chi']",17,13
手忙足乱,"['shou', 'mang', 'zu', 'luan']",32,5
看花走马,"['kan', 'hua', 'zou', 'ma']",5,13
千兵万马,"['qian', 'bing', 'wan', 'ma']",17,13
千金敝帚,"['qian', 'jin', 'bi', 'zhou']",17,1
千筹百计,"['qian', 'chou', 'bai', 'ji']",17,62
委曲保全,"['wei', 'qu', 'bao', 'quan']",51,4
委曲存全,"['wei', 'qu', 'cun', 'quan']",51,4
辞泪俱下,"['ci', 'lei', 'ju', 'xia']",14,7
手无寸刃,"['shou', 'wu', 'cun', 'ren']",32,28
手无尺铁,"['shou', 'wu', 'chi', 'tie']",32,9
毛发竦然,"['mao', 'fa', 'song', 'ran']",9,3
手足靡措,"['shou', 'zu', 'mi', 'cuo']",32,2
香怜玉惜,"['xiang', 'lian', 'yu', 'xi']",24,36
千变万态,"['qian', 'bian', 'wan', 'tai']",17,6
辞色俱厉,"['ci', 'se', 'ju', 'li']",14,55
手卷不释,"['shou', 'juan', 'bu', 'shi']",32,99
毛骨俱竦,"['mao', 'gu', 'ju', 'song']",9,7
千头百绪,"['qian', 'tou', 'bai', 'xu']",17,11
信不由衷,"['xin', 'bu', 'you', 'zhong']",80,33
乘危下石,"['cheng', 'wei', 'xia', 'shi']",35,99
千人一律,"['qian', 'ren', 'yi', 'lv']",17,4
千篇一体,"['qian', 'pian', 'yi', 'ti']",17,10
集翠成裘,"['ji', 'cui', 'cheng', 'qiu']",98,13
集腋为裘,"['ji', 'ye', 'wei', 'qiu']",98,13
师心自任,"['shi', 'xin', 'zi', 'ren']",144,28
玲珑八面,"['ling', 'long', 'ba', 'mian']",17,14
顺水流舟,"['shun', 'shui', 'liu', 'zhou']",4,1
集思广议,"['ji', 'si', 'guang', 'yi']",98,263
上为下效,"['shang', 'wei', 'xia', 'xiao']",16,23
顺水放船,"['shun', 'shui', 'fang', 'chuan']",4,7
止渴望梅,"['zhi', 'ke', 'wang', 'mei']",60,19
止渴之梅,"['zhi', 'ke', 'zhi', 'mei']",60,19
上下手,"['shang', 'xia', 'shou']",16,33
与狐议裘,"['yu', 'hu', 'yi', 'qiu']",80,13
千金诺,"['qian', 'jin', 'nuo']",17,0
千思百计,"['qian', 'si', 'bai', 'ji']",17,62
徙日移天,"['xi', 'ri', 'yi', 'tian']",32,32
虎踞龙蹲,"['hu', 'ju', 'long', 'dun']",18,3
虎狼当路,"['hu', 'lang', 'dang', 'lu']",18,21
便便之腹,"['bian', 'bian', 'zhi', 'fu']",24,53
虎口残生,"['hu', 'kou', 'can', 'sheng']",18,29
行空天马,"['xing', 'kong', 'tian', 'ma']",26,13
惩噎废食,"['cheng', 'ye', 'fei', 'shi']",35,99
虎穴得子,"['hu', 'xue', 'de', 'zi']",18,35
点龙睛,"['dian', 'long', 'jing']",7,48
衔泣吞声,"['xian', 'qi', 'tun', 'sheng']",10,29
拜下风,"['bai', 'xia', 'feng']",3,52
虚作声势,"['xu', 'zuo', 'sheng', 'shi']",12,99
僵李代桃,"['jiang', 'li', 'dai', 'tao']",6,8
衔声茹气,"['xian', 'sheng', 'ru', 'qi']",10,67
丝连藕断,"['si', 'lian', 'ou', 'duan']",28,7
虚张形势,"['xu', 'zhang', 'xing', 'shi']",12,99
衡阳纸贵,"['heng', 'yang', 'zhi', 'gui']",0,8
纸上跃然,"['zhi', 'shang', 'yue', 'ran']",60,3
纸上兵,"['zhi', 'shang', 'bing']",60,23
仁智之见,"['ren', 'zhi', 'zhi', 'jian']",62,29
任劳怨,"['ren', 'lao', 'yuan']",62,19
徙薪曲突,"['xi', 'xin', 'qu', 'tu']",32,11
倒海排山,"['dao', 'hai', 'pai', 'shan']",41,12
岁月如梭,"['sui', 'yue', 'ru', 'suo']",6,6
低心下气,"['di', 'xin', 'xia', 'qi']",63,67
循次渐进,"['xun', 'ci', 'jian', 'jin']",4,39
毖后惩前,"['bi', 'hou', 'cheng', 'qian']",34,64
毕精竭思,"['bi', 'jing', 'jie', 'si']",34,32
乳臭未除,"['ru', 'chou', 'wei', 'chu']",17,44
卓锥之地,"['zhuo', 'zhui', 'zhi', 'di']",5,15
刮目视之,"['gua', 'mu', 'shi', 'zhi']",4,66
乱作胡为,"['luan', 'zuo', 'hu', 'wei']",21,44
循蹈规矩,"['xun', 'dao', 'gui', 'ju']",4,25
毕力殚虑,"['bi', 'li', 'dan', 'lv']",34,4
乳腥未退,"['ru', 'xing', 'wei', 'tui']",17,15
绰有余,"['chuo', 'you', 'yu']",0,65
刮目相观,"['gua', 'mu', 'xiang', 'guan']",4,11
乱想胡思,"['luan', 'xiang', 'hu', 'si']",21,32
刮眼看,"['gua', 'yan', 'kan']",4,8
饭玉炊桂,"['fan', 'yu', 'chui', 'gui']",30,8
街谈巷语,"['jie', 'tan', 'xiang', 'yu']",52,65
利鞅名缰,"['li', 'yang', 'ming', 'jiang']",82,12
外厉内荏,"['wai', 'li', 'nei', 'ren']",12,28
利名缰锁,"['li', 'ming', 'jiang', 'suo']",82,6
外强中枯,"['wai', 'qiang', 'zhong', 'ku']",12,10
出鬼入神,"['chu', 'gui', 'ru', 'shen']",23,46
傅会牵合,"['fu', 'hui', 'qian', 'he']",47,13
傅粉登场,"['fu', 'fen', 'deng', 'chang']",47,11
代李僵桃,"['dai', 'li', 'jiang', 'tao']",19,8
傅会穿凿,"['fu', 'hui', 'chuan', 'zao']",47,4
外泽中干,"['wai', 'ze', 'zhong', 'gan']",12,15
外腴中干,"['wai', 'yu', 'zhong', 'gan']",12,15
出奇取胜,"['chu', 'qi', 'qu', 'sheng']",23,29
参杀人,"['can', 'sha', 'ren']",6,28
出神入妙,"['chu', 'shen', 'ru', 'miao']",23,6
参差不一,"['cen', 'ci', 'bu', 'yi']",0,263
咎皆自贻,"['jiu', 'jie', 'zi', 'yi']",10,263
优游少断,"['you', 'you', 'shao', 'duan']",26,7
代庖越俎,"['dai', 'pao', 'yue', 'zu']",19,6
出于一辙,"['chu', 'yu', 'yi', 'zhe']",23,6
优游不断,"['you', 'you', 'bu', 'duan']",26,7
出言有章,"['chu', 'yan', 'you', 'zhang']",23,5
付与一笑,"['fu', 'yu', 'yi', 'xiao']",47,23
代越庖俎,"['dai', 'yue', 'pao', 'zu']",19,6
付与一炬,"['fu', 'yu', 'yi', 'ju']",47,25
付之度外,"['fu', 'zhi', 'du', 'wai']",47,5
他无长物,"['ta', 'wu', 'chang', 'wu']",6,101
付之罔闻,"['fu', 'zhi', 'wang', 'wen']",47,22
出乎反乎,"['chu', 'hu', 'fan', 'hu']",23,37
佳境渐入,"['jia', 'jing', 'jian', 'ru']",11,47
佳兵黩武,"['jia', 'bing', 'du', 'wu']",11,101
豺狼当涂,"['chai', 'lang', 'dang', 'tu']",5,11
发兵问罪,"['fa', 'bing', 'wen', 'zui']",25,10
待兔守株,"['dai', 'tu', 'shou', 'zhu']",19,19
华而少实,"['hua', 'er', 'shao', 'shi']",42,99
待劳以逸,"['dai', 'lao', 'yi', 'yi']",19,263
射影含沙,"['she', 'ying', 'han', 'sha']",23,12
休戚共之,"['xiu', 'qi', 'gong', 'zhi']",21,66
特开生面,"['te', 'kai', 'sheng', 'mian']",0,14
特书大书,"['te', 'shu', 'da', 'shu']",0,30
借剑杀人,"['jie', 'jian', 'sha', 'ren']",52,28
倚马立成,"['yi', 'ma', 'li', 'cheng']",126,17
储精蓄锐,"['chu', 'jing', 'xu', 'rui']",23,2
借水推船,"['jie', 'shui', 'tui', 'chuan']",52,7
山穷水绝,"['shan', 'qiong', 'shui', 'jue']",25,11
山穷水断,"['shan', 'qiong', 'shui', 'duan']",25,7
伪张声势,"['wei', 'zhang', 'sheng', 'shi']",51,99
倚马才,"['yi', 'ma', 'cai']",126,7
牛马风,"['niu', 'ma', 'feng']",5,52
生齿涂炭,"['sheng', 'chi', 'tu', 'tan']",50,15
山海之盟,"['shan', 'hai', 'zhi', 'meng']",25,8
自保不暇,"['zi', 'bao', 'bu', 'xia']",14,7
生面独开,"['sheng', 'mian', 'du', 'kai']",50,13
触类可通,"['chu', 'lei', 'ke', 'tong']",23,35
纳善如流,"['na', 'shan', 'ru', 'liu']",2,21
自起炉灶,"['zi', 'qi', 'lu', 'zao']",14,4
自开生面,"['zi', 'kai', 'sheng', 'mian']",14,14
白手空拳,"['bai', 'shou', 'kong', 'quan']",3,4
失魂荡魄,"['shi', 'hun', 'dang', 'po']",144,11
自命非凡,"['zi', 'ming', 'fei', 'fan']",14,30
自弃自暴,"['zi', 'qi', 'zi', 'bao']",14,28
自宵达旦,"['zi', 'xiao', 'da', 'dan']",14,23
失马塞翁,"['shi', 'ma', 'sai', 'weng']",144,0
自成机杼,"['zi', 'cheng', 'ji', 'zhu']",14,19
伯仲间,"['bo', 'zhong', 'jian']",8,29
自固不暇,"['zi', 'gu', 'bu', 'xia']",14,7
侃侃直谈,"['kan', 'kan', 'zhi', 'tan']",5,15
自暴弃,"['zi', 'bao', 'qi']",14,67
得此失彼,"['de', 'ci', 'shi', 'bi']",23,28
得寸觑尺,"['de', 'cun', 'qu', 'chi']",23,13
侃侃正论,"['kan', 'kan', 'zheng', 'lun']",5,2
失所流离,"['shi', 'suo', 'liu', 'li']",144,55
触目崩心,"['chu', 'mu', 'beng', 'xin']",23,81
和衷协济,"['he', 'zhong', 'xie', 'ji']",57,62
触而即发,"['chu', 'er', 'ji', 'fa']",23,6
坚城清野,"['jian', 'cheng', 'qing', 'ye']",40,13
鱼水相得,"['yu', 'shui', 'xiang', 'de']",80,23
鱼得忘筌,"['yu', 'de', 'wang', 'quan']",80,4
鱼目入珠,"['yu', 'mu', 'ru', 'zhu']",80,19
息鼓偃旗,"['xi', 'gu', 'yan', 'qi']",32,67
息心静气,"['xi', 'xin', 'jing', 'qi']",32,67
积薪居上,"['ji', 'xin', 'ju', 'shang']",98,10
体贴入妙,"['ti', 'tie', 'ru', 'miao']",9,6
绝祸未萌,"['jue', 'huo', 'wei', 'meng']",16,8
纲提领挈,"['gang', 'ti', 'ling', 'qie']",4,9
绸缪未雨,"['chou', 'mou', 'wei', 'yu']",7,65
得不偿费,"['de', 'bu', 'chang', 'fei']",23,11
绝后空前,"['jue', 'hou', 'kong', 'qian']",16,64
绝类离伦,"['jue', 'lei', 'li', 'lun']",16,2
体物入微,"['ti', 'wu', 'ru', 'wei']",9,44
乌集之众,"['wu', 'ji', 'zhi', 'zhong']",60,33
体无完肌,"['ti', 'wu', 'wan', 'ji']",9,62
体无完皮,"['ti', 'wu', 'wan', 'pi']",9,23
乌有子虚,"['wu', 'you', 'zi', 'xu']",60,11
得趣忘形,"['de', 'qu', 'wang', 'xing']",23,27
失魄亡魂,"['shi', 'po', 'wang', 'hun']",144,12
缘木希鱼,"['yuan', 'mu', 'xi', 'yu']",33,65
鱼目乱珠,"['yu', 'mu', 'luan', 'zhu']",80,19
绍往开来,"['shao', 'wang', 'kai', 'lai']",5,3
鱼目为珠,"['yu', 'mu', 'wei', 'zhu']",80,19
鱼目混珍,"['yu', 'mu', 'hun', 'zhen']",80,8
体恤入微,"['ti', 'xu', 'ru', 'wei']",9,44
失马翁,"['shi', 'ma', 'weng']",144,0
危言骇世,"['wei', 'yan', 'hai', 'shi']",51,99
危于重卵,"['wei', 'yu', 'zhong', 'luan']",51,5
向狐谋裘,"['xiang', 'hu', 'mou', 'qiu']",24,13
急于星火,"['ji', 'yu', 'xing', 'huo']",98,17
急星火,"['ji', 'xing', 'huo']",98,17
惫于奔命,"['bei', 'yu', 'ben', 'ming']",26,40
兔三窟,"['tu', 'san', 'ku']",18,10
鬼出神入,"['gui', 'chu', 'shen', 'ru']",38,47
身无寸铁,"['shen', 'wu', 'cun', 'tie']",24,9
物至而反,"['wu', 'zhi', 'er', 'fan']",60,30
俱伤两败,"['ju', 'shang', 'liang', 'bai']",38,32
各千秋,"['ge', 'qian', 'qiu']",13,13
貉一丘,"['hao', 'yi', 'qiu']",10,13
解纷排难,"['jie', 'fen', 'pai', 'nan']",52,11
名实不副,"['ming', 'shi', 'bu', 'fu']",29,53
敻然不同,"['xiong', 'ran', 'bu', 'tong']",8,35
各有千古,"['ge', 'you', 'qian', 'gu']",13,44
?尽卢烹,"['?', 'jin', 'lu', 'peng']",1,9
翻天作地,"['fan', 'tian', 'zuo', 'di']",30,15
翻天搅地,"['fan', 'tian', 'jiao', 'di']",30,15
仅识之无,"['jin', 'shi', 'zhi', 'wu']",44,101
色飞眉舞,"['se', 'fei', 'mei', 'wu']",23,101
色舞眉飞,"['se', 'wu', 'mei', 'fei']",23,11
饥宁择食,"['ji', 'ning', 'ze', 'shi']",98,99
包藏祸胎,"['bao', 'cang', 'huo', 'tai']",6,6
殷殷不倦,"['yin', 'yin', 'bu', 'juan']",12,5
饱食丰衣,"['bao', 'shi', 'feng', 'yi']",6,263
仅辨菽麦,"['jin', 'bian', 'shu', 'mai']",44,2
饮鸩救渴,"['yin', 'zhen', 'jiu', 'ke']",12,11
包含万象,"['bao', 'han', 'wan', 'xiang']",6,24
负德忘恩,"['fu', 'de', 'wang', 'en']",47,0
假人鼻息,"['jia', 'ren', 'bi', 'xi']",11,36
假公营私,"['jia', 'gong', 'ying', 'si']",11,32
名不虚得,"['ming', 'bu', 'xu', 'de']",29,23
炙手之势,"['zhi', 'shou', 'zhi', 'shi']",60,99
移天换日,"['yi', 'tian', 'huan', 'ri']",126,9
移手上下,"['yi', 'shou', 'shang', 'xia']",126,7
释生取义,"['shi', 'sheng', 'qu', 'yi']",144,263
称功颂德,"['cheng', 'gong', 'song', 'de']",35,23
临渊履冰,"['lin', 'yuan', 'lv', 'bing']",3,23
临渴之掘,"['lin', 'ke', 'zhi', 'jue']",3,11
纵过饰非,"['zong', 'guo', 'shi', 'fei']",2,11
各自为谋,"['ge', 'zi', 'wei', 'mou']",13,1
纵心所欲,"['zong', 'xin', 'suo', 'yu']",2,65
纵虎入室,"['zong', 'hu', 'ru', 'shi']",2,99
似漆如胶,"['si', 'qi', 'ru', 'jiao']",28,24
鲜得要领,"['xian', 'de', 'yao', 'ling']",10,16
作模作样,"['zuo', 'mo', 'zuo', 'yang']",11,20
鲜廉寡耻,"['xian', 'lian', 'gua', 'chi']",10,13
彻桑未雨,"['che', 'sang', 'wei', 'yu']",17,65
价等连城,"['jia', 'deng', 'lian', 'cheng']",11,17
伤矢之禽,"['shang', 'shi', 'zhi', 'qin']",16,5
攸向靡披,"['you', 'xiang', 'mi', 'pi']",26,23
偷世窃名,"['tou', 'shi', 'qie', 'ming']",17,40
价比连城,"['jia', 'bi', 'lian', 'cheng']",11,17
侮文弄法,"['wu', 'wen', 'nong', 'fa']",60,6
翻陈出新,"['fan', 'chen', 'chu', 'xin']",30,81
偻指可数,"['lou', 'zhi', 'ke', 'shu']",2,30
徐步当车,"['xu', 'bu', 'dang', 'che']",12,6
饰外絮内,"['shi', 'wai', 'xu', 'nei']",144,1
秋毫不染,"['qiu', 'hao', 'bu', 'ran']",23,3
稍识之无,"['shao', 'shi', 'zhi', 'wu']",5,101
以逸击劳,"['yi', 'yi', 'ji', 'lao']",126,25
空空妙手,"['kong', 'kong', 'miao', 'shou']",13,33
空囊如洗,"['kong', 'nang', 'ru', 'xi']",13,36
秋毫无扰,"['qiu', 'hao', 'wu', 'rao']",23,1
流移失所,"['liu', 'yi', 'shi', 'suo']",25,6
空谷之音,"['kong', 'gu', 'zhi', 'yin']",13,47
愁眉不开,"['chou', 'mei', 'bu', 'kai']",7,13
流寓失所,"['liu', 'yu', 'shi', 'suo']",25,6
流汗沾背,"['liu', 'han', 'zhan', 'bei']",25,29
秋水芙蕖,"['qiu', 'shui', 'fu', 'qu']",23,14
空囊羞涩,"['kong', 'nang', 'xiu', 'se']",13,3
以身试险,"['yi', 'shen', 'shi', 'xian']",126,13
秋色平分,"['qiu', 'se', 'ping', 'fen']",23,24
空拳赤手,"['kong', 'quan', 'chi', 'shou']",13,33
泣牛衣,"['qi', 'niu', 'yi']",63,263
沆瀣一襟,"['hang', 'xie', 'yi', 'jin']",4,39
空有其表,"['kong', 'you', 'qi', 'biao']",13,4
泣对牛衣,"['qi', 'dui', 'niu', 'yi']",63,263
以漆投胶,"['yi', 'qi', 'tou', 'jiao']",126,24
沆瀣一脉,"['hang', 'xie', 'yi', 'mai']",4,2
滴水石穿,"['di', 'shui', 'shi', 'chuan']",63,7
以逸制劳,"['yi', 'yi', 'zhi', 'lao']",126,25
侮由自取,"['wu', 'you', 'zi', 'qu']",60,14
完归赵璧,"['wan', 'gui', 'zhao', 'bi']",4,28
寡信轻诺,"['gua', 'xin', 'qing', 'nuo']",4,0
肩摩袂属,"['jian', 'mo', 'mei', 'shu']",40,30
寡不胜众,"['gua', 'bu', 'sheng', 'zhong']",4,33
肩劳任怨,"['jian', 'lao', 'ren', 'yuan']",40,19
寡闻陋见,"['gua', 'wen', 'lou', 'jian']",4,29
以沫相濡,"['yi', 'mo', 'xiang', 'ru']",126,47
寥寥无多,"['liao', 'liao', 'wu', 'duo']",4,9
凛凛威风,"['lin', 'lin', 'wei', 'feng']",3,52
家无四壁,"['jia', 'wu', 'si', 'bi']",11,28
宝花乱坠,"['bao', 'hua', 'luan', 'zhui']",6,1
室无长物,"['shi', 'wu', 'chang', 'wu']",144,101
安心塌地,"['an', 'xin', 'ta', 'di']",13,15
宣威耀武,"['xuan', 'wei', 'yao', 'wu']",4,101
寒灰复燃,"['han', 'hui', 'fu', 'ran']",7,3
安分守拙,"['an', 'fen', 'shou', 'zhuo']",13,15
流脍人口,"['liu', 'kuai', 'ren', 'kou']",25,17
室徒四壁,"['shi', 'tu', 'si', 'bi']",144,28
穿凿傅会,"['chuan', 'zao', 'fu', 'hui']",15,22
以身试祸,"['yi', 'shen', 'shi', 'huo']",126,17
守残保缺,"['shou', 'can', 'bao', 'que']",32,0
穿杨百步,"['chuan', 'yang', 'bai', 'bu']",15,126
守此失彼,"['shou', 'ci', 'shi', 'bi']",32,28
牢补羊亡,"['lao', 'bu', 'yang', 'wang']",17,54
客至如归,"['ke', 'zhi', 'ru', 'gui']",24,8
害理伤天,"['hai', 'li', 'shang', 'tian']",26,32
酒瓮饭囊,"['jiu', 'weng', 'fan', 'nang']",10,5
凛然起敬,"['lin', 'ran', 'qi', 'jing']",3,48
汗流浃体,"['han', 'liu', 'jia', 'ti']",7,10
酒地花天,"['jiu', 'di', 'hua', 'tian']",10,32
窃铃掩耳,"['qie', 'ling', 'yan', 'er']",4,15
沥肝呈胆,"['li', 'gan', 'cheng', 'dan']",82,23
案举齐眉,"['an', 'ju', 'qi', 'mei']",13,19
逼人咄咄,"['bi', 'ren', 'duo', 'duo']",34,9
还童返老,"['huan', 'tong', 'fan', 'lao']",14,25
河盟山誓,"['he', 'meng', 'shan', 'shi']",57,99
远虑深谋,"['yuan', 'lv', 'shen', 'mou']",33,1
江淹才尽,"['jiang', 'yan', 'cai', 'jin']",6,39
还珠买椟,"['huan', 'zhu', 'mai', 'du']",14,11
还魂起死,"['huan', 'hun', 'qi', 'si']",14,32
逐末遗本,"['zhu', 'mo', 'yi', 'ben']",38,1
礼有往来,"['li', 'you', 'wang', 'lai']",82,3
心爽神怡,"['xin', 'shuang', 'shen', 'yi']",80,263
心狂意乱,"['xin', 'kuang', 'yi', 'luan']",80,5
割鸡焉用,"['ge', 'ji', 'yan', 'yong']",13,7
心如刀切,"['xin', 'ru', 'dao', 'qie']",80,9
心平气温,"['xin', 'ping', 'qi', 'wen']",80,22
心如刀刺,"['xin', 'ru', 'dao', 'ci']",80,8
心摇胆战,"['xin', 'yao', 'dan', 'zhan']",80,10
心飞肉跳,"['xin', 'fei', 'rou', 'tiao']",80,1
心战胆栗,"['xin', 'zhan', 'dan', 'li']",80,55
心肠铁石,"['xin', 'chang', 'tie', 'shi']",80,99
心腹相照,"['xin', 'fu', 'xiang', 'zhao']",80,9
心宰理得,"['xin', 'zai', 'li', 'de']",80,23
心定理得,"['xin', 'ding', 'li', 'de']",80,23
