each_cy,pingyin,input_index,output_index
不同凡响,"['bu', 'tong', 'fan', 'xiang']",17,24
骨瘦如柴,"['gu', 'shou', 'ru', 'chai']",40,5
理直气壮,"['li', 'zhi', 'qi', 'zhuang']",82,14
星罗棋布,"['xing', 'luo', 'qi', 'bu']",26,126
依然故我,"['yi', 'ran', 'gu', 'wo']",126,8
大庭广众,"['da', 'ting', 'guang', 'zhong']",15,33
鬼使神差,"['gui', 'shi', 'shen', 'chai']",38,5
粗枝大叶,"['cu', 'zhi', 'da', 'ye']",4,13
相得益彰,"['xiang', 'de', 'yi', 'zhang']",24,5
心如刀割,"['xin', 'ru', 'dao', 'ge']",80,20
心满意足,"['xin', 'man', 'yi', 'zu']",80,6
名列前茅,"['ming', 'lie', 'qian', 'mao']",29,10
失魂落魄,"['shi', 'hun', 'luo', 'po']",144,11
粗茶淡饭,"['cu', 'cha', 'dan', 'fan']",4,30
跃然纸上,"['yue', 'ran', 'zhi', 'shang']",16,10
见义勇为,"['jian', 'yi', 'yong', 'wei']",40,44
形单影只,"['xing', 'dan', 'ying', 'zhi']",26,66
养虎遗患,"['yang', 'hu', 'yi', 'huan']",28,19
忧心如焚,"['you', 'xin', 'ru', 'fen']",26,24
搜索枯肠,"['sou', 'suo', 'ku', 'chang']",0,11
义无反顾,"['yi', 'wu', 'fan', 'gu']",126,44
坐立不安,"['zuo', 'li', 'bu', 'an']",11,33
纷至沓来,"['fen', 'zhi', 'ta', 'lai']",17,3
首屈一指,"['shou', 'qu', 'yi', 'zhi']",32,66
形影不离,"['xing', 'ying', 'bu', 'li']",26,55
一决雌雄,"['yi', 'jue', 'ci', 'xiong']",126,5
依样画葫芦,"['yi', 'yang', 'hua', 'hu', 'lu']",126,21
厉兵秣马,"['li', 'bing', 'mo', 'ma']",82,13
祸起萧墙,"['huo', 'qi', 'xiao', 'qiang']",32,7
纵虎归山,"['zong', 'hu', 'gui', 'shan']",2,12
党同伐异,"['dang', 'tong', 'fa', 'yi']",9,263
大喜过望,"['da', 'xi', 'guo', 'wang']",15,54
响遏行云,"['xiang', 'e', 'xing', 'yun']",24,3
泾渭分明,"['jing', 'wei', 'fen', 'ming']",44,40
破釜沉舟,"['po', 'fu', 'chen', 'zhou']",14,1
中庸之道,"['zhong', 'yong', 'zhi', 'dao']",45,23
含沙射影,"['han', 'sha', 'she', 'ying']",7,28
一丘之貉,"['yi', 'qiu', 'zhi', 'he']",126,13
班门弄斧,"['ban', 'men', 'nong', 'fu']",8,53
水落石出,"['shui', 'luo', 'shi', 'chu']",22,44
名落孙山,"['ming', 'luo', 'sun', 'shan']",29,12
胸有成竹,"['xiong', 'you', 'cheng', 'zhu']",8,19
指鹿为马,"['zhi', 'lu', 'wei', 'ma']",60,13
天衣无缝,"['tian', 'yi', 'wu', 'feng']",39,52
江郎才尽,"['jiang', 'lang', 'cai', 'jin']",6,39
口若悬河,"['kou', 'ruo', 'xuan', 'he']",15,13
惊弓之鸟,"['jing', 'gong', 'zhi', 'niao']",44,1
一败涂地,"['yi', 'bai', 'tu', 'di']",126,15
投笔从戎,"['tou', 'bi', 'cong', 'rong']",17,1
画蛇添足,"['hua', 'she', 'tian', 'zu']",42,6
望梅止渴,"['wang', 'mei', 'zhi', 'ke']",12,11
司空见惯,"['si', 'kong', 'jian', 'guan']",28,11
南辕北辙,"['nan', 'yuan', 'bei', 'zhe']",3,6
狼狈为奸,"['lang', 'bei', 'wei', 'jian']",11,29
狐假虎威,"['hu', 'jia', 'hu', 'wei']",18,44
为虎作伥,"['wei', 'hu', 'zuo', 'chang']",51,11
如火如荼,"['ru', 'huo', 'ru', 'tu']",17,11
老马识途,"['lao', 'ma', 'shi', 'tu']",17,11
一暴十寒,"['yi', 'pu', 'shi', 'han']",126,30
守株待兔,"['shou', 'zhu', 'dai', 'tu']",32,11
四面楚歌,"['si', 'mian', 'chu', 'ge']",28,20
奇货可居,"['qi', 'huo', 'ke', 'ju']",63,25
刻舟求剑,"['ke', 'zhou', 'qiu', 'jian']",24,29
后来居上,"['hou', 'lai', 'ju', 'shang']",14,10
负荆请罪,"['fu', 'jing', 'qing', 'zui']",47,10
对牛弹琴,"['dui', 'niu', 'tan', 'qin']",3,5
一鼓作气,"['yi', 'gu', 'zuo', 'qi']",126,67
纸上谈兵,"['zhi', 'shang', 'tan', 'bing']",60,23
破镜重圆,"['po', 'jing', 'chong', 'yuan']",14,19
打草惊蛇,"['da', 'cao', 'jing', 'she']",15,14
揠苗助长,"['ya', 'miao', 'zhu', 'zhang']",7,5
一鸣惊人,"['yi', 'ming', 'jing', 'ren']",126,28
死灰复燃,"['si', 'hui', 'fu', 'ran']",28,3
出奇制胜,"['chu', 'qi', 'zhi', 'sheng']",23,29
食古不化,"['shi', 'gu', 'bu', 'hua']",144,24
一日千里,"['yi', 'ri', 'qian', 'li']",126,55
一诺千金,"['yi', 'nuo', 'qian', 'jin']",126,39
骑虎难下,"['qi', 'hu', 'nan', 'xia']",63,7
投鼠忌器,"['tou', 'shu', 'ji', 'qi']",17,67
坐井观天,"['zuo', 'jing', 'guan', 'tian']",11,32
门可罗雀,"['men', 'ke', 'luo', 'que']",6,0
攀龙附凤,"['pan', 'long', 'fu', 'feng']",7,52
易如反掌,"['yi', 'ru', 'fan', 'zhang']",126,5
脍炙人口,"['kuai', 'zhi', 'ren', 'kou']",4,17
趾高气扬,"['zhi', 'gao', 'qi', 'yang']",60,20
唾面自干,"['tuo', 'mian', 'zi', 'gan']",1,15
推心置腹,"['tui', 'xin', 'zhi', 'fu']",4,53
病入膏肓,"['bing', 'ru', 'gao', 'huang']",15,11
萧规曹随,"['xiao', 'gui', 'cao', 'sui']",17,21
庸人自扰,"['yong', 'ren', 'zi', 'rao']",13,1
缘木求鱼,"['yuan', 'mu', 'qiu', 'yu']",33,65
双管齐下,"['shuang', 'guan', 'qi', 'xia']",1,7
一言九鼎,"['yi', 'yan', 'jiu', 'ding']",126,1
自相矛盾,"['zi', 'xiang', 'mao', 'dun']",14,3
举案齐眉,"['ju', 'an', 'qi', 'mei']",38,19
闭门造车,"['bi', 'men', 'zao', 'che']",34,6
歧路亡羊,"['qi', 'lu', 'wang', 'yang']",63,20
车水马龙,"['che', 'shui', 'ma', 'long']",17,7
先发制人,"['xian', 'fa', 'zhi', 'ren']",10,28
洛阳纸贵,"['luo', 'yang', 'zhi', 'gui']",16,8
孤陋寡闻,"['gu', 'lou', 'gua', 'wen']",40,22
满腹经纶,"['man', 'fu', 'jing', 'lun']",5,2
